date,AS_FTSE_DM_STAY_2022_Q2,meta
2022-06-29 03:00:00,-21.26766948829971,
2022-06-29 18:30:00,-17.711262019557886,
2022-06-29 20:00:00,-17.557818176679696,
2022-06-29 23:00:00,23.195749243419407,
2022-06-29 23:59:59,24.99091751752956,c
2022-06-30 00:00:00,13.087864156925171,
2022-06-30 01:00:00,9.130572811323567,
2022-06-30 02:30:00,0.7286239958288832,
2022-06-30 03:00:00,1.1770193052452242,
2022-06-30 18:30:00,4.922636429496109,
2022-06-30 20:00:00,4.049920870057072,
2022-06-30 23:00:00,-23.56247080001328,
2022-06-30 23:59:59,-24.316466676705296,c
2022-07-01 00:00:00,-22.42144919436445,
2022-07-01 01:00:00,-19.019156620434366,
2022-07-01 02:30:00,-8.825038975889257,
2022-07-01 03:00:00,-9.926325660115737,
2022-07-01 18:30:00,-9.926325660115737,
2022-07-01 20:00:00,-9.926325660115737,
2022-07-01 23:00:00,-9.926325660115737,
2022-07-01 23:59:59,1.2821962401574538,w
2022-07-04 00:00:00,-15.893502383788004,
2022-07-04 01:00:00,-22.36143306224084,
2022-07-04 02:30:00,-1.4972864662910794,
2022-07-04 03:00:00,1.1825728562455708,
2022-07-04 18:30:00,2.1556849318384863,
2022-07-04 20:00:00,1.7833878814400421,
2022-07-04 23:00:00,13.531611192772978,
2022-07-04 23:59:59,26.045590111173098,c
2022-07-05 00:00:00,30.366878737774936,
2022-07-05 01:00:00,21.8413082494696,
2022-07-05 02:30:00,34.34995670771706,
2022-07-05 03:00:00,34.74330992063193,
2022-07-05 18:30:00,32.8313695738039,
2022-07-05 20:00:00,33.70327304264296,
2022-07-05 23:00:00,65.65118660574684,
2022-07-05 23:59:59,71.55421615583235,c
2022-07-06 00:00:00,85.51537291281949,
2022-07-06 01:00:00,81.69241610618784,
2022-07-06 02:30:00,67.00243033081628,
2022-07-06 03:00:00,63.33716325973335,
2022-07-06 18:30:00,69.77676552510411,
2022-07-06 20:00:00,71.98637332538969,
2022-07-06 23:00:00,73.44414586453229,
2022-07-06 23:59:59,82.482739018115,c
2022-07-07 00:00:00,80.66445090463432,
2022-07-07 01:00:00,87.52794099609713,
2022-07-07 02:30:00,81.41293525677146,
2022-07-07 03:00:00,78.77980238643396,
2022-07-07 18:30:00,77.41572412266117,
2022-07-07 20:00:00,77.09579537011109,
2022-07-07 23:00:00,40.451573413690205,
2022-07-07 23:59:59,40.34170452912112,c
2022-07-08 00:00:00,49.77389987259549,
2022-07-08 01:00:00,46.893854762324,
2022-07-08 02:30:00,44.1772664317872,
2022-07-08 03:00:00,45.69061804140877,
2022-07-08 18:30:00,45.69061804140877,
2022-07-08 20:00:00,45.69061804140877,
2022-07-08 23:00:00,45.69061804140877,
2022-07-08 23:59:59,52.04278690782661,w
